,link,name,type,price,address,built_up,bedrooms,bathrooms,monthly_installment,land_title,tenure,furnishing,state
85,/property/bandar-kinrara/sale-8426927/,"Sri Petaling, Bukit Jalil, Bandar Kinrara",4,880000,"Sri Petaling, Bukit Jalil, 57000, Selangor ",2549.0,6,5,3966,4,3,-, Selangor
86,/new-property/property/kota-kemuning/elemen-residences/new-6040/,Elemen Residences,4,0,"Tropicana Aman, Kota Kemuning, Selangor ",3077.5,5,4 - 5,0,3,-,-, Selangor
87,/property/kulai/sale-8177288/,"Bandar Putra, Kulai",1,1750000,"Bandar Putra, 81000, Johor ",4000.0,6,5,7887,4,5,4, Johor
88,/property/kulai/sale-8159712/,"Bandar Putra, Kulaijaya, Kulai",3,1280000,"Palm Villa, Gate C, Bandar Putra, Kulaijaya, 81000, Johor ",4355.0,6,6,5769,4,5,2, Johor
89,/property/johor-bahru/sale-8427023/,"Bandar Dato Onn, Johor Bahru",4,600000,"Bandar Dato Onn, Bandar Dato Onn, 81100, Johor ",1540.0,4,3,2704,1,5,1, Johor
90,/property/iskandar-puteri-nusajaya/sale-8117927/,"Eco Botanic, Eastwell, Iskandar Puteri (Nusajaya)",3,1550000,"Horizon Hills, East Ledang,Eco Botanic, Bukit Indah, Nusa Idaman, Nusa Duta, Nusa Sentral, Eco Botanic, Eastwell, Johor ",3320.0,5,6,6986,4,5,2, Johor
91,/property/johor-bahru/r-f-princess-cove/sale-8055438/,"R&F Princess Cove, Johor Bahru",2,1260000,"Jalan Tanjung Puteri, Johor Bahru, Johor ",1129.0,3,2,5679,3,5,4, Johor
92,/property/johor-bahru/sale-8426930/,"Jp Perdana Mount Austin, Johor Bahru",4,448000,"Jp Perdana 2, Jalan Jaya Putra 2, Mount Austin, Jp Perdana Mount Austin, 81100, Johor ",1540.0,3,2,2019,4,5,1, Johor
94,/property/mont-kiara/seni-mont-kiara/sale-7937076/,"Seni Mont Kiara, Mont Kiara",2,1850000,"Jalan Changkat Duta Kiara, Mont Kiara, 50480, Kuala Lumpur ",2347.0,4,4,8338,-,5,1, Kuala Lumpur
96,/property/seremban/sale-8226765/,Seremban,4,331740,"SEREMBAN, Negeri Sembilan ",1946.0,4,3,1495,4,5,2, Negeri Sembilan
97,/property/seremban/sale-7727937/,"SEREMBAN, PortDickson, Sendayan, Seremban",4,359000,"SEREMBAN, PortDickson, Sendayan, Negeri Sembilan ",2047.0,5,3,1618,4,5,2, Negeri Sembilan
98,/property/seremban/sale-7727905/,"TTJ, Seremban",4,450000,"TTJ, Negeri Sembilan ",1812.0,4,3,2028,4,5,-, Negeri Sembilan
99,/new-property/property/shah-alam/amverton-greens/new-6059/,Amverton Greens,2,0,"Kota Kemuning, Shah Alam, Selangor ",1240.5,2,2 - 5,2244,4,-,-, Selangor
100,/property/bandar-sunway/sale-8426753/,"Subang Jaya, Bandar Sunway",4,1750000,"Puchong Jaya, Petaling Jaya, USJ, Subang Jaya, Selangor ",3000.0,5,4,7887,4,3,4, Selangor
102,/new-property/property/petaling-jaya/121-residences/new-6055/,121 Residences,2,0,"Petaling Jaya, Selangor ",600.0,1,1 - 2,1433,4,-,-, Selangor
104,/property/damansara-damai/armanee/sale-5562932/,"Armanee, Damansara Damai",2,498000,"Jalan PJU 10/1C, Damansara Damai, 47830, Selangor ",1643.0,5,4,2244,4,3,4, Selangor
105,/property/damansara-damai/armanee/sale-3300907/,"Armanee, Damansara Damai",2,460000,"Jalan PJU 10/1C, Damansara Damai, 47830, Selangor ",1643.0,4,3,2073,4,2,4, Selangor
106,/new-property/property/damansara-heights/klgcc-resort-senada-residence/new-5454/,KLGCC Resort : Senada Residence,2,0,"Bukit Kiara, Damansara Heights, Kuala Lumpur ",845.0,1,1 - 2,5421,4,-,-, Kuala Lumpur
107,/property/segambut/scenaria-north-kiara-hills/sale-5339535/,"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut",2,598000,"Jalan 6/38a, Off Jalan Segambut, Taman Sri Sinar, 51200, Kuala Lumpur ",1019.0,3,2,2695,4,5,4, Kuala Lumpur
108,/property/segambut/scenaria-north-kiara-hills/sale-5263237/,"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut",2,580000,"Jalan 6/38a, Off Jalan Segambut, Taman Sri Sinar, 51200, Kuala Lumpur ",1019.0,3,2,2614,4,5,4, Kuala Lumpur
109,/property/kota-damansara/sale-7852342/,"Jln Nuri, Kota Damansara",4,659000,"Jln Nuri, Jln Nuri, 47810, Selangor ",2100.0,7,4,2970,4,3,4, Selangor
110,/new-property/property/kl-city/one-cochrane-residences/new-5821/,One Cochrane Residences,2,0,"Jalan Cochrane, KL City, Kuala Lumpur ",1076.5,2,2 - 3,3966,4,-,-, Kuala Lumpur
111,/property/iskandar-puteri-nusajaya/sale-8162851/,"Nusa Bestari, Nusa Bestari, Nusa Bestari, Iskandar Puteri (Nusajaya)",4,570000,"Jalan Bestari 13, Nusa Bestari, Nusa Bestari, Nusa Bestari, 81300, Johor ",2000.0,4,3,2569,4,5,4, Johor
112,/property/jalan-klang-lama-old-klang-road/platinum-arena/sale-8081724/,"Platinum Arena, Old Klang Road, Jalan Klang Lama (Old Klang Road)",2,426086,"Jalan Klang Lama, Old Klang Road, 58000, Kuala Lumpur ",908.0,3,2,1920,2,3,4, Kuala Lumpur
113,/property/damansara-jaya/sale-7383061/,"Petaling Jaya, Damansara Jaya",4,1300000,"Jln SS22/39, Damansara Jaya, Petaling Jaya, 47400, Selangor ",2100.0,4,3,5859,4,5,4, Selangor
114,/property/bukit-jalil/sale-8450131/,Bukit Jalil,4,880000,Kuala Lumpur ,2800.0,5,5,3966,4,3,2, Kuala Lumpur
115,/property/petaling-jaya/ryan-miho/sale-8426314/,"Ryan & Miho, PJS 13, Petaling Jaya",2,476077,"Jalan Universiti, PJS 13, 46200, Selangor ",678.0,2,2,2146,4,2,4, Selangor
117,/property/petaling-jaya/ryan-miho/sale-8426259/,"Ryan & Miho, PJS 13, Petaling Jaya",2,608700,"Jalan Universiti, PJS 13, 46200, Selangor ",818.0,3,2,2743,4,2,4, Selangor
118,/property/permas-jaya/sale-8223459/,"Permas Jaya, Permas Jaya, Permas Jaya, Permas Jaya",4,560000,"Permas Jaya 15, Permas Jaya, Permas Jaya, Permas Jaya, 81100, Johor ",1700.0,4,3,2524,4,5,4, Johor
119,/property/bandar-utama/pelangi-utama/sale-8307708/,"Pelangi Utama, Bandar Utama",2,499000,"Jalan Masjid, Bandar Utama, 47400, Selangor ",1137.0,3,2,2249,4,3,4, Selangor
120,/property/johor-bahru/sale-8426118/,"Austin Perdana, Johor Bahru",4,588000,"Austin Perdana Mount Austin, Austin Perdana, 81100, Johor ",1400.0,4,3,2650,1,5,4, Johor
122,/property/sri-petaling/m-oscar/sale-8045634/,"M Oscar, Sri Petaling",2,450000,"Jalan 2/149, Sri Petaling, 58200, Kuala Lumpur ",900.0,3,2,2028,-,5,-, Kuala Lumpur
123,/new-property/property/bangsar/the-estate/new-5355/,The Estate,2,0,"South Bangsar, Bangsar, Kuala Lumpur ",4701.5,1,4 - 6,8373,4,-,-, Kuala Lumpur
126,/new-property/property/pasir-gudang/acacia/new-6056/,Acacia,4,0,"Meridin East, Pasir Gudang, Johor ",1838.0,4,3,2244,4,-,-, Johor
127,/property/semenyih/sale-5854816/,"Eco Majestic Tenderfields 32x70, Semenyih",4,780000,"1, Lingkaran Eco Majestic, Eco Majestic, Malaysia, 43500 Semenyih, Selangor",2396.0,5,4,3515,4,5,2, Selangor
128,/property/cyberjaya/sale-7000628/,"Cyberjaya City Centre, Cyberjaya",3,860000,"Cyber, Cyberjaya, Persiaran Mulia, 63000 Selangor, Cyberjaya City Centre, 63000, Selangor ",2600.0,5,4,3876,4,5,-, Selangor
129,/property/bukit-jalil/the-rainz/sale-8449855/,"The Rainz, Bukit Jalil",2,1080000,"Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur ",1930.0,6,4,4867,-,5,4, Kuala Lumpur
130,/new-property/property/bandar-bukit-raja/bandar-bukit-raja-kyra-2/new-6054/,Bandar Bukit Raja : Kyra 2,4,0,"Bandar Bukit Raja, Selangor ",1838.0,1,0,2875,4,-,-, Selangor
131,/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-7638546/,"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)",2,860000,"Jalan Selesaria, Happy Garden, 58200, Kuala Lumpur ",1663.0,4,3,3876,4,5,4, Kuala Lumpur
132,/property/putrajaya/sale-7003098/,"Feraz Residence @ Putra North, Putrajaya, Putrajaya",3,730000,"Persiaran Lakefront, Jalan Lakeside, Putrajaya, Putrajaya City Centre, Precint. , Feraz Residence @ Putra North, Putrajaya, Putrajaya ",3000.0,7,5,3290,4,5,-, Putrajaya
133,/property/kampung-kerinchi-bangsar-south/the-park-residences-1/sale-5487084/,"The Park Residences 1, Bangsar South, Kampung Kerinchi (Bangsar South)",2,1750000,"Jalan 112h, Bangsar South, 59100, Kuala Lumpur ",2095.0,4,3,7887,4,3,1, Kuala Lumpur
134,/new-property/property/wangsa-maju/m-adora/new-6049/,M Adora,2,0,"Jalan Wangsa Melawati 1, Wangsa Maju, Kuala Lumpur ",1025.0,1,2 - 3,2109,4,-,-, Kuala Lumpur
135,/property/ara-damansara/aragreens/sale-7009710/,"Aragreens, Ara Damansara",2,1890000,"Jalan Pju 1A/3, Ara Damansara, 47301, Selangor ",3136.0,6,4,8518,-,5,4, Selangor
136,/property/cyberjaya/sale-7116371/,"Laurel Residence @ Lamanview, Cyberjaya",4,650000,"Cyberjaya, Cyber 9, Pinggiran Cyber, Cyberjaya City Centre, Selangor, Laurel Residence @ Lamanview, 63000, Selangor ",2400.0,4,4,2929,4,5,-, Selangor
137,/property/segambut/united-point/sale-8240654/,"United Point, Segambut",2,500000,"Jalan Lang Emas, Tmn Sri Sinar, Segambut, Segambut, 52100, Kuala Lumpur ",829.0,4,2,2253,4,5,4, Kuala Lumpur
138,/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-3415081/,"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)",2,699000,"Jalan Selesaria, Happy Garden, 58200, Kuala Lumpur ",1400.0,3,2,3150,4,5,4, Kuala Lumpur
141,/property/johor-bahru/epic-residence/sale-8294398/,"Epic Residence, Taman Suria Muafakat, Johor Bahru",2,380000,"Jalan Suria Muafakat Utama, Taman Suria Muafakat, 81200, Johor ",1066.0,3,2,1713,4,3,2, Johor
142,/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-7306319/,"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)",2,780000,"Jalan Selesaria, Happy Garden, 58200, Kuala Lumpur ",1406.0,4,4,3515,4,5,4, Kuala Lumpur
143,/property/horizon-hills/sale-8478140/,"Taman Nusa Duta, Horizon Hills",3,2100000,"Bukit Indah, East Ledang, Ledang Heights, Nusa Idaman, Sunday ISKANDAR, ISKANDAR puteri, Taman Nusa Duta, 79100, Johor ",3774.0,6,5,9464,4,5,4, Johor
144,/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-4635175/,"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)",2,660000,"Jalan Selesaria, Happy Garden, 58200, Kuala Lumpur ",1164.0,4,4,2975,4,5,4, Kuala Lumpur
145,/property/johor-bahru/bora-residences/sale-8249742/,"Bora Residences, Johor Bahru",2,430000,"Off Jalan Skudai, Danga Bay, Johor Bahru, Johor, Johor Bahru, Johor ",694.0,1,1,1938,2,-,4, Johor
146,/property/wangsa-maju/quinn-residence/sale-8351663/,"Quinn Residence, Taman Wangsa Maju, Wangsa Maju",2,444800,"Jalan Wangsa Perdana 1, Taman Wangsa Maju, 53300, Kuala Lumpur ",800.0,5,2,2005,-,3,-, Kuala Lumpur
147,/new-property/property/kepong/m-luna/new-6036/,M Luna,2,0,"KL North, Kepong, Kuala Lumpur ",850.0,2,2,1735,4,-,-, Kuala Lumpur
149,/property/johor-bahru/sri-impian-apartment/sale-8478156/,"Sri Impian Apartment, Taman Dato Onn Jaffar, Johor Bahru",2,245000,"Jalan Larkin Perdana 1, Taman Dato Onn Jaffar, 80350, Johor ",906.0,3,2,1104,4,3,1, Johor
150,/new-property/property/seremban/cadena-terraces-ara-sendayan/new-5678/,Cadena Terraces @ Ara Sendayan,4,0,"Ara Sendayan, Seremban, Negeri Sembilan ",2435.0,4,4,2789,4,-,-, Negeri Sembilan
151,/property/puchong/sale-8061747/,"Abadi Height, Puchong",4,880000,"Jalan Abadi 1, Abadi Height, 47130, Selangor ",2500.0,5,5,3966,4,3,4, Selangor
152,/property/bayan-lepas/elit-heights-bayan-city/sale-8430936/,"Elit Heights @ Bayan City, Bayan Baru, Bayan Lepas",2,770000,"Jalan Mayang Pasir 2, Bayan Baru, 11900, Penang ",1736.0,5,2,3470,2,5,2, Penang
